time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-03T03:30:10.922Z,34.8182,26.4405,52.03,4.3,mb,,120,0.936,1.12,us,us70005bbt,2019-09-03T04:23:23.040Z,"45km SSE of Palaikastron, Greece",earthquake,7.5,3.3,0.138,15,reviewed,us,us
2019-09-03T03:28:37.320Z,35.631,-117.4343333,2.97,2.67,ml,38,56,0.03513,0.14,ci,ci39037640,2019-09-03T11:31:11.930Z,"15km S of Searles Valley, CA",earthquake,0.18,0.29,0.208,25,automatic,ci,ci
2019-09-03T02:39:39.930Z,19.7886658,-155.3374939,6.1,2.69,ml,12,350,0.3657,0.24,hv,hv71122342,2019-09-03T02:45:20.310Z,"24km WSW of Pepeekeo, Hawaii",earthquake,23.03,21.31,0.27,5,automatic,hv,hv
2019-09-03T02:32:14.860Z,35.6710014,-117.5213318,9.47,3.2,ml,56,62,0.09711,0.16,ci,ci39037488,2019-09-03T02:54:40.030Z,"15km ENE of Ridgecrest, CA",earthquake,0.18,0.44,0.228,17,automatic,ci,ci
2019-09-03T02:29:20.280Z,35.6691667,-117.5243333,10.02,2.79,ml,40,37,0.05951,0.15,ci,ci39037480,2019-09-03T02:40:23.250Z,"15km ENE of Ridgecrest, CA",earthquake,0.19,0.38,0.134,25,automatic,ci,ci
2019-09-03T02:23:09.490Z,35.5158348,-117.4134979,7.61,3.08,ml,68,33,0.04097,0.17,ci,ci39037448,2019-09-03T02:51:24.628Z,"26km NE of Johannesburg, CA",earthquake,0.17,0.57,0.229,21,automatic,ci,ci
2019-09-03T02:21:08.566Z,21.8559,-107.7474,10,4.3,mb,,198,2.725,0.69,us,us70005bbb,2019-09-04T01:28:37.664Z,"203km SW of Mazatlan, Mexico",earthquake,5.2,2,0.079,45,reviewed,us,us
2019-09-03T01:59:55.250Z,19.365,-65.701,34,2.57,md,14,312,1.1231,0.29,pr,pr2019246000,2019-09-03T03:49:48.040Z,"111km N of Vieques, Puerto Rico",earthquake,1.81,14.88,0.15,10,reviewed,pr,pr
2019-09-03T01:59:04.289Z,13.9654,144.7013,193.62,4.4,mb,,159,0.407,0.72,us,us70005bb2,2019-09-03T02:19:17.040Z,"51km NNW of Dededo Village, Guam",earthquake,13.2,8.1,0.073,54,reviewed,us,us
2019-09-03T01:48:04.580Z,41.3776665,-122.1273346,3.27,2.54,md,7,95,0.05491,0.03,nc,nc73264045,2019-09-03T15:09:25.531Z,"14km N of McCloud, CA",earthquake,0.32,1.31,0.06,4,automatic,nc,nc
